Date,Action,Price,Units,Fee,PnL
2021-02-05,BUY,36950.0126484375,0.007123354022496304,0.3948120318458048,0.0
2021-02-22,SELL,51709.90164648438,0.007123354022496304,0.5525219038445591,104.19258073014588
2021-03-19,BUY,57879.366626953124,0.006239505801960689,0.5417079658240258,0.0
2021-03-24,SELL,52936.22065792411,0.006239505801960689,0.49544378389348315,-31.87993970341263
2021-03-30,BUY,57779.007878906246,0.006580968573082898,0.5703627525524868,0.0
2021-04-16,SELL,60396.048587890626,0.006580968573082898,0.596196746542944,16.056103161209357
2021-05-07,BUY,56442.1601015625,0.006780930954362402,0.5740955858456455,0.0
2021-05-12,SELL,53300.973458147324,0.006780930954362402,0.54214533123,-22.41641066083933
2021-08-20,BUY,46746.48265429687,0.008939683187891184,0.626848117616497,0.0
2021-09-01,SELL,46581.00141964286,0.008939683187891184,0.624629092899475,-2.7308270218639272
2021-09-02,BUY,48832.251580078126,0.010592478493249452,0.7758818619583863,0.0
2021-09-07,SELL,48731.04639508929,0.010592478493249452,0.7742738413402868,-2.6221694486982674
2021-10-11,BUY,54761.492062499994,0.008641425353203103,0.709826018832177,0.0
2021-10-22,SELL,61427.53370340402,0.008641425353203103,0.7962321706940004,56.0980430516895
2021-11-09,BUY,67583.5092421875,0.008440936410961917,0.8557021559144427,0.0
2021-11-10,SELL,63362.47757784599,0.008440936410961917,0.8022579661133974,-37.2874199893913
2021-11-11,BUY,65011.380070312494,0.007889673002126838,0.769377795257627,0.0
2021-11-16,SELL,61102.57070814733,0.007889673002126838,0.7231189537149243,-32.33172444410767
2022-03-25,BUY,43986.5291484375,0.014290385090790197,0.9428766605076595,0.0
2022-03-31,SELL,45587.83140039063,0.014290385090790197,0.9772014992483992,20.963147667403714
2022-04-01,BUY,45576.94114453125,0.015181431779536445,1.0378848340584734,0.0
2022-04-06,SELL,44416.28298102679,0.015181431779536445,1.0114541549655658,-19.669791717629117
2022-08-16,BUY,24138.199787109374,0.02449837158858619,0.8870198817962063,0.0
2022-08-19,SELL,22789.817303989956,0.02449837158858619,0.8374701191237062,-34.75766511591996
2022-11-02,BUY,20493.200463867186,0.03965107827650949,1.2188662435934976,0.0
2022-11-08,SELL,20307.637139927454,0.03965107827650949,1.2078295647693222,-9.784481691146423
2023-02-04,BUY,23458.04347265625,0.028963646542495,1.0191457195807465,0.0
2023-02-09,SELL,22357.031294084823,0.028963646542495,0.9713117282120587,-33.879785026917965
2023-04-11,BUY,29668.506527343747,0.022644928335426275,1.0077618061962386,0.0
2023-04-17,SELL,29536.602380161832,0.022644928335426275,1.0032813662561186,-4.998003132532251
2023-04-18,BUY,29463.816342773436,0.026845571631901596,1.1864594882686759,0.0
2023-04-19,SELL,28943.317418805807,0.026845571631901596,1.1654998515471247,-16.32505048751648
2023-07-14,BUY,31490.458063476563,0.02364642322139514,1.116955048206843,0.0
2023-07-17,SELL,30020.893874441965,0.02364642322139514,1.0648301430594653,-36.93172195618482
2023-08-09,BUY,29781.578660156247,0.030438469740635944,1.3597585213133025,0.0
2023-08-14,SELL,29111.102345982144,0.030438469740635944,1.3291461118121004,-23.097177633926936
2023-11-08,BUY,35437.18630078125,0.019140488109110183,1.0174275645156388,0.0
2023-11-14,SELL,35961.33567215402,0.019140488109110183,1.0324762767308757,7.982570968911542
2023-11-15,BUY,35565.88733789062,0.016509028725317103,0.8807373835539423,0.0
2023-11-16,SELL,35609.180922433035,0.016509028725317103,0.8818094861001913,-1.0478118388214686
2023-12-02,BUY,38708.62198242187,0.017386768337977906,1.0095267646360924,0.0
2023-12-11,SELL,42301.135726562505,0.017386768337977906,1.1032200709666546,60.34945738477207
2023-12-27,BUY,42539.727984375,0.01322057387586703,0.8435994247150765,0.0
