Slippage,Brokerage,CAGR,Sharpe,Max Drawdown
0.0,0.0015,0.07251625093207892,0.6019944793218024,-0.22773389937009217
0.0,0.0025,0.06301276734024719,0.5318246655059047,-0.2399867184730264
0.0,0.005,0.03957991541739214,0.3584183466409569,-0.2736319276149354
0.0005,0.0015,0.06775507586761442,0.5668613875852784,-0.23388277781712188
0.0005,0.0025,0.05828899343843541,0.4968983242726164,-0.2460452722223018
0.0005,0.005,0.034948514065134884,0.32414670030705023,-0.2821156518794433
0.001,0.0015,0.06301265370431453,0.5318270026315909,-0.2399863948228485
0.001,0.0025,0.0535838426412405,0.46208704487455327,-0.25205917767606084
0.001,0.005,0.03033541476788071,0.29002744647037865,-0.2905051158620237
